X79a	X85a	X89a	X84a	X48a	X82a	X34a	X27a	X21a	X16a	X60a	X62a	X63a	X67c	X65c	X39c	X10c	X44c	X78c	X76c
ABCA17P	3	3	1	0	0	1	0	0	11	14	7	8	2	1	2	1	0	2	1	14
ABCA2	64	109	137	14	37	50	108	116	77	219	109	161	56	66	50	112	121	55	49	89
ABCA3	122	136	90	40	64	129	73	83	167	154	132	53	88	121	105	161	182	98	117	185
ABCA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0
ABCA5	865	131	123	141	90	174	162	300	653	410	456	577	390	374	466	362	200	271	173	329
ABCA6	28	6	106	7	28	24	43	127	38	62	126	105	34	48	33	155	32	75	8	31
ABCA7	10	4	5	5	1	3	7	5	13	5	11	7	9	7	15	15	14	7	9	4
ABCA8	97	405	240	29	50	53	215	207	18	410	420	357	108	135	27	223	40	108	33	93
ABCA9	78	133	126	24	93	14	134	101	52	207	196	54	70	95	25	84	112	133	30	13
ABCA9-AS1	8	1	2	0	3	0	0	0	0	0	1	0	2	0	0	7	3	3	0	0
ABCB1	14	66	60	17	50	87	114	111	20	224	32	75	103	29	21	42	58	53	17	19
ABCB10	47	13	40	7	11	45	15	45	58	19	21	31	26	36	21	24	30	32	29	16
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ABCB4	13	0	2	1	1	2	0	0	1	3	11	0	0	3	1	3	8	1	10	2
ABCB5	0	0	0	0	5	1	0	0	4	18	0	0	0	0	0	1	1	0	0	0
ABCB6	140	150	34	41	31	112	94	77	199	94	157	71	67	46	139	135	54	73	118	205
ABCB7	67	52	79	12	13	63	17	58	106	55	200	35	42	38	114	59	38	78	70	54
ABCB8	28	11	16	9	4	8	25	9	59	47	13	18	15	47	37	41	24	13	17	21
ABCB9	98	34	10	20	10	28	22	30	102	50	77	77	70	51	63	74	49	33	76	188
ABCC1	167	118	47	30	23	79	22	69	214	55	144	76	137	90	82	136	74	50	66	109
ABCC10	2	1	7	2	1	14	58	1	5	14	5	10	15	3	1	8	19	4	4	2
ABCC11	3	2	3	0	0	0	0	0	8	2	15	4	0	0	4	0	0	0	2	4
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	17	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	3	0	3	0
ABCC2	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ABCC3	13	4	41	6	8	3	44	22	43	57	61	32	19	21	25	13	23	19	42	17
ABCC4	26	66	65	18	15	5	20	80	48	8	137	26	36	38	25	34	8	35	33	40
ABCC5	1591	648	313	470	294	603	552	669	1341	760	963	972	1131	942	1211	1564	1016	624	791	1482
ABCC5-AS1	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0
ABCC6	0	13	0	0	2	0	0	0	3	8	1	37	1	1	3	3	2	0	1	0
ABCC6P1	3	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC8	47	37	33	15	9	27	7	52	32	130	36	55	34	57	41	49	88	26	19	40
ABCC9	97	257	344	11	66	205	123	197	129	122	458	267	151	72	60	160	81	160	20	62
ABCD1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	1
ABCD2	284	98	40	44	59	78	33	174	381	104	138	121	123	203	271	288	48	116	182	160
ABCD3	963	252	218	129	145	384	239	555	1064	414	531	399	420	634	665	647	181	353	686	442
ABCD4	11	32	46	5	14	16	24	28	26	31	32	47	18	17	13	48	7	13	7	16
ABCE1	1103	283	226	108	136	147	137	387	973	430	563	467	397	572	858	587	205	286	608	525
ABCF1	302	134	94	91	60	135	65	154	290	166	173	93	199	162	202	227	99	142	201	285
ABCF2	336	163	75	96	66	80	121	141	265	110	259	150	192	166	221	308	154	89	167	340
ABCF3	124	107	51	43	14	133	64	61	114	113	124	56	52	73	159	177	160	54	78	168
ABCG1	154	69	112	23	33	38	84	65	104	94	138	114	57	196	104	85	72	70	48	156
ABCG2	64	106	23	50	61	29	71	102	59	63	63	98	73	89	26	92	19	82	36	56
ABCG4	66	12	15	6	7	19	28	10	33	44	20	34	21	21	21	65	45	4	8	50
ABCG5	4	1	0	0	0	0	2	8	0	12	1	0	6	0	2	2	0	3	5	2
ABCG8	16	0	0	2	3	2	1	1	4	26	2	12	3	6	10	5	10	7	4	7
ABHD1	111	144	19	30	34	81	66	74	148	65	108	91	100	74	103	122	39	48	101	259
ABHD10	1164	134	205	134	115	163	121	369	1085	477	557	524	467	544	798	695	263	372	511	450
ABHD11	9	15	12	11	6	4	4	9	29	17	48	16	11	9	20	12	14	33	5	7
ABHD11-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD12	135	55	46	28	27	112	48	36	147	72	163	167	71	100	162	107	59	46	117	150
ABHD12B	16	1	0	1	0	0	60	0	6	5	5	20	2	0	2	0	0	4	0	0
ABHD13	172	66	60	24	38	144	114	128	247	94	95	123	100	115	102	282	38	106	107	72
ABHD14A	9	21	0	4	5	1	26	2	16	1	9	16	11	9	12	13	10	6	9	5
ABHD14A-ACY1	2	3	8	2	0	0	0	3	6	9	4	2	1	1	1	0	2	0	2	7
ABHD14B	42	162	226	46	37	76	138	127	77	215	602	313	196	65	10	129	71	68	42	37
ABHD15	7	4	8	2	5	0	3	8	12	4	11	1	8	7	6	10	12	1	5	3
ABHD16A	53	25	15	13	11	15	49	29	52	32	34	40	56	38	46	59	25	23	31	62
ABHD16B	1	2	0	0	0	6	3	1	0	0	3	0	1	1	0	2	0	3	2	1
ABHD17A	4	1	1	1	1	3	1	3	1	3	1	2	0	2	3	0	2	4	2	8
ABHD17B	413	98	96	30	40	136	127	177	272	93	208	158	240	227	211	295	98	153	134	161
ABHD17C	149	105	139	68	37	96	64	107	173	140	304	259	108	89	103	166	70	88	122	141
ABHD18	71	121	39	13	21	37	70	92	161	220	187	134	52	64	58	82	24	68	37	39
ABHD2	4282	1453	997	953	607	1682	944	1878	4684	2054	2528	1325	2398	2441	2730	3576	1551	1593	2668	2586
ABHD3	169	46	6	20	20	60	52	26	167	41	86	36	63	77	98	80	22	54	63	73
ABHD4	19	67	73	9	10	43	6	49	21	27	96	39	63	6	31	40	14	50	6	10
ABHD5	93	92	151	22	33	83	139	161	111	174	154	145	62	60	62	106	18	102	83	244
ABHD6	119	37	30	57	13	40	35	68	105	52	99	101	72	69	167	53	39	49	52	95
ABHD8	1	0	1	0	0	2	0	1	0	2	0	1	0	0	1	0	0	0	1	1
ABI1	1662	863	835	274	298	688	657	988	1475	1045	1577	1347	962	974	960	930	307	802	1011	1335
ABI2	4655	1962	1544	745	931	1707	1718	2609	4775	2732	4455	2956	2571	2448	3424	3068	1244	2252	3149	1999
ABI3	0	20	45	8	6	27	15	40	2	3	38	30	3	0	1	6	1	3	1	8
ABI3BP	30	143	319	18	18	104	58	62	14	143	326	358	139	32	14	41	5	92	11	17
ABL1	83	27	82	12	18	40	75	59	55	44	43	59	27	16	24	44	16	30	25	67
ABL2	530	455	206	124	116	473	352	324	754	440	384	263	384	385	689	410	327	260	424	545
ABLIM1	3564	1588	2475	868	644	1842	1975	2625	4334	2172	3079	1713	2316	2419	2535	3028	1970	2461	2181	2408
ABLIM2	656	272	105	170	135	446	227	391	828	477	459	383	489	434	530	546	513	289	457	623
ABLIM3	533	328	336	135	205	492	294	300	702	778	924	985	479	249	200	543	421	419	334	395
ABO	0	35	10	3	12	0	14	9	0	7	1	37	7	29	3	0	4	1	0	6
ABR	371	252	527	117	127	269	196	321	306	411	402	392	293	281	194	389	364	185	202	306
ABRA	24	6	1	0	18	6	1	11	26	23	32	1	8	20	19	35	27	40	2	12
ABRACL	102	27	21	31	16	33	62	70	92	25	62	70	38	62	88	62	5	27	49	70
ABT1	46	39	7	4	0	18	81	28	37	20	58	93	33	41	24	36	21	9	42	28
ABTB1	7	5	4	2	2	6	16	0	4	15	5	5	4	3	6	9	5	6	5	15
ABTB2	53	33	18	8	20	14	36	71	85	64	107	23	60	51	30	38	52	33	21	16
ACAA1	76	28	24	15	12	21	40	44	84	30	79	76	53	39	92	84	14	45	74	88
ACAA2	203	107	163	42	60	105	94	216	197	133	415	224	196	93	172	156	47	119	163	114
ACACA	1656	610	444	335	308	646	347	736	1176	932	1075	758	1026	1196	1221	1225	704	605	550	1090
ACACB	71	127	82	39	18	27	87	75	34	112	149	143	45	83	20	116	55	65	35	73
ACAD10	20	7	29	7	6	0	1	6	6	15	4	4	6	18	5	9	10	17	3	18
ACAD11	101	61	52	28	34	30	121	91	78	120	158	154	59	62	50	36	14	47	31	23
ACAD8	97	29	22	20	24	33	35	46	120	54	271	303	55	77	82	251	65	50	86	60
ACAD9	321	501	58	67	61	108	105	111	407	243	412	280	200	215	329	187	63	95	202	349
ACADL	17	3	19	4	1	1	4	16	19	35	16	13	3	6	11	16	0	7	7	0
ACADM	807	334	171	90	120	154	101	363	983	421	577	411	306	319	776	597	68	309	527	350
ACADS	9	24	9	2	13	13	15	10	10	5	16	10	6	4	17	22	4	5	12	14
ACADSB	954	353	316	169	133	438	147	366	1100	505	718	460	574	527	624	697	242	393	651	332
ACADVL	146	116	85	34	39	80	150	128	201	158	116	201	143	122	130	195	143	150	163	203
ACAN	20	33	5	1	3	1	2	2	6	21	2	43	15	20	9	6	7	5	2	0
ACAP1	1	2	2	0	0	2	0	0	0	6	6	1	1	1	0	1	2	1	0	1
ACAP2	285	110	199	73	75	110	163	154	210	245	281	141	138	173	232	290	75	192	242	184
ACAP3	0	0	7	0	4	2	11	1	8	14	2	7	5	5	3	10	6	5	1	0
ACAT1	427	191	170	34	87	119	116	225	585	271	347	149	280	147	265	219	43	161	298	148
ACAT2	1242	427	121	152	178	359	321	455	1273	849	776	908	459	616	1006	681	141	368	601	651
ACBD3	2573	1681	828	883	596	1531	992	1367	2380	1829	1949	1395	2148	1347	1752	2200	1125	988	1347	3242
ACBD4	9	2	1	0	1	0	0	1	4	3	3	8	2	2	1	2	0	1	1	9
ACBD5	1325	381	536	230	222	590	490	764	1484	982	1009	979	800	961	1063	1241	461	602	716	779
ACBD6	91	40	28	2	11	36	45	29	79	74	90	43	8	21	69	40	5	23	48	27
ACBD7	101	452	211	47	112	174	488	416	328	577	475	369	257	230	46	363	67	323	102	171
ACCS	2	20	2	0	0	0	6	9	6	10	10	4	9	5	4	1	9	5	1	3
ACCSL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACD	10	5	5	2	8	6	3	2	6	16	5	14	5	7	2	19	2	5	8	7
ACE	10	0	0	1	1	0	0	6	20	11	24	20	17	5	1	2	1	2	2	1
ACE2	1	4	1	0	0	0	0	0	6	0	0	0	0	0	1	1	0	0	5	4
ACER1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACER2	0	0	5	7	11	0	21	16	6	10	13	0	1	8	1	4	9	11	0	0
ACER3	473	151	216	98	66	61	75	252	648	277	454	439	182	391	372	330	215	197	297	201
ACHE	29	44	18	22	8	25	13	10	46	23	50	42	21	34	29	58	52	11	32	28
ACIN1	559	528	532	130	262	387	704	420	490	826	686	660	359	300	289	356	475	358	283	434
ACKR1	1210	1124	316	546	220	451	314	576	1226	626	745	548	735	1089	1022	1540	385	543	728	1057
ACKR2	0	3	14	10	4	29	1	58	1	6	8	64	0	62	0	1	3	1	0	2
ACKR3	13	40	103	7	15	7	20	34	4	14	36	45	29	9	5	26	1	28	4	10
ACKR4	2	0	18	0	1	0	3	2	4	4	3	1	0	1	4	3	4	2	0	0
ACLY	12575	5820	1533	3050	1810	7367	3477	4111	16107	4674	8580	7135	8962	6727	11021	9158	2865	3957	6700	10340
ACMSD	1	0	0	0	0	77	0	3	1	1	0	0	0	0	1	0	1	0	0	0
ACO1	441	173	112	191	62	308	33	150	181	176	368	252	173	205	226	235	196	193	212	168
ACO2	399	408	143	163	100	279	206	243	513	394	696	734	357	283	390	472	245	232	324	744
ACOD1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT1	0	0	0	0	0	0	0	0	5	10	3	5	0	0	0	1	0	2	0	0
ACOT11	28	9	8	2	3	8	13	22	16	22	49	49	25	30	29	22	11	18	20	44
ACOT12	0	0	0	5	2	0	0	0	0	0	4	0	0	1	5	29	6	0	0	0
ACOT13	1632	814	223	298	205	327	306	624	1307	616	1018	914	619	554	982	648	141	392	661	963
ACOT2	22	7	4	0	0	3	7	27	8	10	27	17	0	8	8	1	3	0	0	6
ACOT4	4	1	7	2	0	0	3	2	3	0	63	2	2	2	3	0	0	2	3	1
ACOT6	1	2	0	0	0	0	7	4	3	8	0	0	1	0	3	0	1	7	0	0
ACOT7	795	551	105	182	195	314	244	342	1327	634	608	679	563	462	755	789	362	209	650	760
ACOT8	17	4	1	0	4	7	3	12	3	6	19	25	4	5	5	8	6	5	6	19
ACOT9	46	22	55	7	6	21	11	19	48	43	60	38	24	20	32	42	54	31	23	16
ACOX1	801	472	328	204	108	491	353	475	658	442	396	616	368	498	586	900	270	367	438	485
ACOX2	2	0	21	2	1	11	2	2	8	2	11	1	18	1	2	4	13	13	0	4
ACOX3	25	25	45	18	15	64	72	15	27	8	57	39	64	60	27	41	18	38	23	19
ACOXL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ACP1	650	334	60	129	137	195	168	269	695	251	494	335	390	282	482	398	96	226	331	325
ACP2	299	214	34	74	46	123	32	125	432	298	252	182	145	161	289	345	97	120	414	565
ACP5	0	0	0	0	0	0	0	1	0	1	4	0	0	0	0	0	0	0	1	0
ACP6	20	6	3	4	0	24	5	38	18	6	25	52	22	11	15	15	0	3	13	35
ACP7	1	1	0	0	3	2	5	0	1	0	0	0	0	1	0	0	10	0	0	0
ACPP	1	0	3	5	0	0	0	24	4	0	2	0	0	0	0	2	29	4	0	0
ACPT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACR	0	0	0	0	0	0	2	0	3	1	1	0	0	1	0	0	1	0	0	0
ACRBP	0	2	0	0	0	0	0	0	0	2	1	4	0	0	1	0	0	3	0	0
ACRC	39	11	7	6	10	9	70	25	5	36	80	30	64	38	20	17	17	42	39	93
ACRV1	105	0	1	1	0	39	0	1	6	0	3	0	12	20	42	7	1	6	7	0
ACSBG1	19	46	84	2	23	3	30	69	25	79	136	110	19	21	19	36	13	32	0	36
ACSBG2	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0
ACSF2	0	0	3	0	1	7	12	0	0	8	7	5	1	0	0	0	0	2	0	0
ACSF3	4	22	9	6	0	16	1	1	2	4	0	4	0	1	2	4	0	0	2	1
ACSL1	266	264	408	87	89	303	118	152	444	193	361	298	150	136	128	223	150	198	130	206
ACSL3	5784	1788	940	1223	769	1520	1125	1992	7283	2197	3433	2331	3136	3584	4438	3854	964	1714	3536	3659
ACSL4	3114	827	266	501	358	845	416	1112	2867	1213	1425	1391	1052	1437	1664	1306	272	583	1372	1086
ACSL5	10	48	33	6	23	81	29	13	3	27	72	42	40	15	5	9	12	10	4	16
ACSL6	4789	1261	375	674	477	1339	814	1404	5371	1829	2031	1953	1969	2312	3866	3237	929	1370	1815	2208
ACSM1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
ACSM2A	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
ACSM3	5	5	1	0	1	0	1	5	7	1	2	3	2	1	1	3	0	5	0	1
ACSM4	1	0	0	1	0	0	0	7	2	1	0	0	2	5	5	0	0	1	12	4
ACSM5	0	8	7	0	1	0	17	10	0	16	14	8	6	1	0	3	0	5	2	0
ACSM6	1	0	0	0	2	0	1	9	1	2	0	3	0	1	5	9	0	0	0	0
ACSS1	17	133	46	13	16	92	131	72	18	144	144	131	38	50	24	41	38	62	21	56
ACSS2	141	87	48	53	24	70	124	114	199	146	141	184	193	159	80	157	97	81	109	104
ACSS3	13	10	103	3	16	6	99	40	15	94	57	47	18	6	0	21	21	21	0	17
ACTA1	0	7	2	0	0	5	0	0	5	4	0	0	0	1	3	1	0	0	0	2
ACTA2	20	59	545	2	62	19	116	35	19	65	140	177	369	33	3	155	17	6	5	9
ACTA2-AS1	14	28	253	1	29	7	11	27	18	31	53	129	190	15	2	42	9	4	5	2
ACTB	8584	5546	5635	2833	2522	8407	4211	5964	11401	5930	9868	8528	6575	5572	7306	10477	5376	4077	6343	7078
ACTBL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	29	5	0	5	12	6	4	34	42	13	56	5	11	29	52	56	5	12	42	32
ACTG1	23712	12529	3557	5190	3655	12053	5849	11004	34544	10932	18403	15245	14481	16290	19998	19718	4604	7173	17169	22434
ACTG1P17	3	5	1	0	0	3	6	0	2	3	2	0	0	1	0	0	4	0	0	12
ACTG1P20	18	2	3	5	1	5	7	12	15	3	9	4	15	14	11	11	3	1	8	26
ACTG1P4	6	3	0	0	1	4	5	7	11	5	8	3	4	3	5	1	0	1	4	10
ACTG2	0	21	109	1	1	2	0	9	0	0	16	7	39	0	2	8	21	0	0	0
ACTL10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACTL6A	68	48	74	6	25	21	31	39	62	79	190	42	66	32	69	27	39	30	52	12
ACTL6B	15	20	4	5	3	5	8	16	25	9	24	46	4	14	15	23	14	2	18	36
ACTL7A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ACTL8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ACTL9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	56	222	274	30	86	84	115	109	61	48	165	232	56	26	28	41	24	19	23	27
ACTN1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN2	246	122	121	37	78	191	275	195	333	201	228	172	177	165	163	171	65	104	209	191
ACTN3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ACTN4	89	81	97	27	39	76	63	82	92	215	73	190	156	70	84	150	80	97	39	91
ACTR10	2908	779	224	407	306	813	405	965	3418	1334	1938	1630	936	1094	2240	1624	284	780	1357	1165
ACTR1A	1260	271	286	266	223	602	329	419	1377	667	674	553	637	663	1090	1382	941	520	810	602
ACTR1B	238	189	57	44	55	91	118	140	332	281	252	330	179	158	229	213	90	93	123	271
ACTR2	5036	1249	1553	851	704	1606	738	2205	5299	1902	3045	2260	2281	1812	3581	3041	899	1789	2271	2251
ACTR3	3108	661	969	380	405	982	602	1455	3535	1158	1874	1288	1129	1201	2305	1768	515	841	1566	1384
ACTR3B	767	358	96	170	123	271	172	258	814	431	462	218	324	589	576	756	148	294	462	553
ACTR3BP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3C	15	2	6	14	4	6	29	0	9	3	2	1	6	16	5	10	2	8	4	18
ACTR5	13	6	0	1	0	0	0	10	8	6	14	147	3	9	2	0	6	3	5	8
ACTR6	1143	227	94	172	113	276	135	322	1141	347	418	255	436	506	820	517	83	320	546	378
ACTR8	437	95	214	53	96	201	102	193	546	308	217	163	253	177	336	304	81	165	211	316
ACTRT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	3	4	1	8	1	1	16	18	38	11	65	8	22	14	85	12	8	22	51	25
ACVR1	130	146	92	34	30	347	158	67	185	81	157	223	184	85	157	121	32	65	47	208
ACVR1B	1467	427	434	343	245	739	594	535	1003	589	899	900	695	931	759	1462	489	478	585	1063
ACVR1C	96	58	25	57	14	0	59	87	42	47	45	58	81	117	41	26	10	102	19	19
ACVR2A	251	98	95	72	45	124	59	112	217	208	263	256	135	207	207	243	57	143	128	162
ACVR2B	160	91	143	53	39	72	301	193	77	129	205	64	66	102	79	52	86	141	40	72
ACVR2B-AS1	2	0	1	0	0	0	0	3	4	25	0	0	0	3	8	0	0	1	1	0
ACVRL1	18	187	48	13	69	147	78	59	3	33	37	43	48	9	1	48	9	19	7	5
ACY1	2	3	8	2	0	0	0	3	6	9	2	2	1	1	1	0	2	0	2	7
ACY3	0	0	2	0	0	0	12	0	4	0	12	0	0	1	0	0	0	1	0	0
ACYP1	351	117	50	73	69	162	75	175	334	242	179	232	113	134	317	207	81	141	228	192
ACYP2	539	192	72	92	68	158	144	214	516	439	387	433	210	215	448	258	108	64	303	340
ADA	1	0	6	0	0	1	0	0	0	23	0	2	3	1	0	0	1	1	4	0
ADAD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAD2	2	5	0	1	0	9	3	2	1	0	2	0	1	4	0	7	0	1	0	7
ADAL	254	50	24	51	23	35	38	136	173	110	212	84	92	53	89	134	51	70	117	224
ADAM10	594	497	309	140	182	271	317	486	547	399	895	615	514	296	389	389	198	304	281	298
ADAM11	15	8	1	1	3	3	1	4	19	65	19	29	3	6	5	15	20	2	8	9
ADAM12	172	27	50	47	9	11	47	132	81	13	51	72	278	92	64	137	24	19	82	69
ADAM15	27	40	21	13	31	32	31	32	25	47	61	62	23	20	18	34	23	18	24	66
ADAM17	212	171	188	70	73	155	220	282	193	286	260	553	204	96	223	146	86	166	150	121
ADAM18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADAM19	362	189	144	46	139	274	180	192	331	127	191	139	247	197	220	501	209	108	207	315
ADAM1A	0	0	14	1	2	6	1	1	3	25	12	3	3	3	3	2	2	5	0	0
ADAM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM20	5	0	3	5	2	0	2	24	7	31	0	4	0	1	7	5	5	15	1	11
ADAM20P1	11	47	1	6	1	30	11	21	13	34	7	7	10	9	9	32	58	6	19	7
ADAM21	29	20	2	3	1	0	2	2	7	10	2	5	17	27	2	7	1	12	7	12
ADAM21P1	0	0	0	1	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0
ADAM22	6118	2454	935	1260	732	2094	1115	1946	6094	2649	3267	2354	3261	3349	4302	4825	1824	1928	3124	3893
ADAM23	12113	3980	1418	2971	1386	6178	2703	4159	12273	5014	6468	5573	7855	9274	9811	9905	3767	4402	7190	7965
ADAM28	43	76	275	22	56	14	14	70	37	64	184	152	22	38	6	31	54	55	2	6
ADAM29	0	0	0	0	0	0	0	0	0	0	4	0	0	5	4	1	0	6	0	5
ADAM30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM32	46	63	6	12	16	8	2	31	79	21	13	4	21	20	20	16	4	23	16	19
ADAM33	0	6	0	0	13	0	21	1	9	2	10	2	17	8	0	8	1	1	0	1
