Genename	Control_1	Control_2	Control_3	T24_10	T24_5	T48_10	T48_5	T72_10	T72_5
ABAT	0.0291	0.0563	0.0185	0.0236	0.0161	0.0435	0.0042	0.0069	0.0237
ABCA1	3.9365	2.5991	4.3890	6.2749	7.0176	4.0011	7.5090	9.2014	5.9780
ABCA10	0.1313	0.0787	0.1112	0.0978	0.0688	0.0536	0.0543	0.0834	0.0678
ABCA11P	8.7599	6.6573	8.8715	7.5879	7.0602	6.0914	7.4757	7.8650	7.3499
ABCA12	0.0075	0.0047	0.0216	0.0069	0.0094	0.0069	0.0050	0.0000	0.0111
ABCA13	0.2545	0.1739	0.2192	0.1184	0.1286	0.1101	0.1374	0.0902	0.1220
ABCA17P	1.6469	1.0335	1.3119	1.2109	0.8710	1.8087	1.5526	1.4007	1.5433
ABCA2	16.4749	15.3189	17.6351	14.5107	14.7057	12.4435	14.1927	14.7522	14.5935
ABCA3	5.4786	5.9031	5.9815	6.7715	6.4029	7.2208	6.0277	7.4177	7.8285
ABCA4	0.0000	0.0417	0.0558	0.1491	0.1322	0.0948	0.2824	0.1970	0.1290
ABCA5	0.4285	0.2235	0.2637	0.2049	0.2704	0.1785	0.2748	0.2999	0.2388
ABCA6	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ABCA7	2.7953	2.9460	2.9806	2.2144	2.2926	2.3831	2.3436	3.3783	2.8051
ABCA8	0.0115	0.0000	0.0245	0.0099	0.0043	0.0000	0.0035	0.0173	0.0151
ABCA9	0.1213	0.0794	0.0899	0.0331	0.0879	0.0514	0.0614	0.0642	0.0585
ABCA9-AS1	0.2132	0.0000	0.2748	0.0862	0.0000	0.0000	0.0000	0.1027	0.0000
ABCB1	0.0000	0.0082	0.0063	0.0000	0.0000	0.0040	0.0000	0.0000	0.0000
ABCB10	8.9982	7.7370	9.5062	9.7342	9.6523	6.5231	10.2330	9.8974	8.4636
ABCB11	0.0293	0.0000	0.0000	0.0060	0.0000	0.0000	0.0043	0.0000	0.0000
ABCB4	0.0924	0.0819	0.0704	0.0826	0.0855	0.0201	0.0726	0.0792	0.0362
ABCB5	0.2981	0.1927	0.1724	0.2314	0.1369	0.1843	0.2478	0.1827	0.2789
ABCB6	13.9117	13.2413	13.9164	11.1334	11.1265	11.0809	17.0418	15.9888	12.6836
ABCB7	13.5178	9.4756	13.0592	11.0853	11.4839	8.0789	13.2709	11.3357	10.6608
ABCB8	12.8304	16.8635	14.9303	16.7772	18.1216	18.2845	23.7793	22.8979	19.5760
ABCB9	4.6694	6.1801	5.6357	2.9646	2.9861	2.7022	3.7049	3.4584	3.1931
ABCC1	15.1688	12.3786	14.7643	13.7247	15.6781	9.4554	13.1668	13.3528	11.5566
ABCC10	5.1524	4.7302	5.3796	6.5439	6.8112	5.8575	6.7544	7.6604	6.6772
ABCC11	0.0157	0.0174	0.0000	0.0128	0.0000	0.0043	0.0134	0.0224	0.0103
ABCC12	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ABCC13	0.1280	0.0569	0.0217	0.0417	0.0568	0.0419	0.0670	0.0488	0.0419
ABCC2	0.0511	0.0283	0.1298	0.0727	0.0331	0.0731	0.0484	0.0182	0.0459
ABCC3	5.6028	5.7319	6.0042	6.0891	6.4428	4.9125	4.3290	4.8385	5.7693
ABCC4	8.9312	6.5131	10.2489	9.3252	10.5294	5.9023	8.6888	10.3520	8.6484
ABCC5	11.2952	7.9316	9.4819	9.3629	9.4059	6.3608	10.7714	10.0198	8.0222
ABCC5-AS1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ABCC6	0.0136	0.0000	0.0058	0.0000	0.0000	0.0037	0.0000	0.0065	0.0000
ABCC6P1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ABCC6P2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ABCC8	0.0000	0.0236	0.0060	0.0000	0.0052	0.0077	0.0000	0.0203	0.0000
ABCC9	1.6911	0.7049	0.9370	0.6021	0.5275	0.5446	0.6250	0.7234	0.6299
ABCD1	4.6626	7.0317	5.9395	5.8026	6.3043	5.4269	5.9879	6.3060	5.7819
ABCD2	0.0000	0.0000	0.0055	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ABCD3	14.9969	14.1396	18.2160	14.6892	14.9698	10.3633	15.9590	14.8050	13.5456
ABCD4	14.3953	12.9350	12.6687	14.2537	13.7675	14.8657	16.0638	16.2573	15.7445
ABCE1	73.1994	53.5885	72.5334	65.3471	67.6775	43.5166	67.3557	62.9777	58.6778
ABCF1	86.2967	73.6915	73.0316	70.0750	68.3933	64.6895	68.4595	64.0349	66.7906
ABCF2	65.1571	56.6106	64.9794	68.2260	72.9523	45.9328	57.4988	57.1939	58.3035
ABCF3	65.7663	69.3214	65.0752	68.1616	70.4041	69.7953	69.1815	65.9877	69.4782
ABCG1	2.8539	3.2110	3.0231	3.1590	3.4809	2.7178	1.0151	1.4420	2.6426
ABCG2	0.0317	0.0702	0.0470	0.0386	0.0182	0.0224	0.0462	0.0626	0.0207
ABCG4	0.1179	0.2452	0.1483	0.2398	0.2107	0.1506	0.1890	0.1667	0.1505
ABCG5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ABCG8	0.0000	0.0151	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ABHD1	0.2150	0.1489	0.0911	0.0437	0.0795	0.2342	0.0313	0.0512	0.0351
ABHD10	17.9794	17.0533	21.1130	15.9904	16.8686	13.7170	19.9138	18.2429	16.5798
ABHD11	20.3113	22.2053	20.0502	16.4652	17.5950	16.2442	23.9422	20.8729	16.5976
ABHD11-AS1	2.6913	1.8977	2.2792	2.2869	1.9908	1.6658	2.0678	1.6298	1.2786
ABHD12	38.6291	34.6417	35.1171	35.0932	34.0919	35.8928	57.3460	51.5681	39.1560
ABHD12B	1.7835	1.9762	1.9324	1.5562	1.6685	0.6571	1.1007	1.3728	1.1136
ABHD13	7.0282	4.7964	6.8366	6.9244	6.4429	4.6151	7.1363	6.8322	6.2086
ABHD14A	16.5513	18.3084	14.3245	12.9563	16.5506	14.8460	21.4657	17.9884	15.6277
ABHD14A-ACY1	6.0108	3.8796	8.4219	7.3896	3.5032	4.5906	8.2872	8.8986	5.1132
ABHD14B	110.7953	117.9740	120.4218	99.8912	110.3932	86.9219	100.4857	99.7004	97.2392
ABHD15	7.8941	11.7397	12.6965	11.1257	11.8715	9.1786	10.2795	10.6917	11.6870
ABHD16A	13.5274	13.5114	14.4889	15.1178	15.2888	14.9341	14.0194	15.9702	16.2807
ABHD16B	8.0343	8.5965	7.5242	6.0638	5.4558	7.1429	8.0526	7.8077	6.7061
ABHD17A	130.3890	305.5190	250.3600	303.6487	287.6520	338.6346	323.1160	371.7938	344.4543
ABHD17B	7.8453	7.5741	9.2118	7.2358	8.2013	5.5821	8.9280	8.7625	6.9481
ABHD17C	14.7042	12.3232	15.4478	8.4342	8.6398	6.3446	8.5524	8.5170	7.9030
ABHD18	3.3999	2.2853	2.8855	2.6142	2.6729	1.9965	2.7241	2.7167	2.6640
ABHD2	25.1773	17.6577	26.5259	35.9799	38.9936	21.7462	36.8574	38.9580	29.3910
ABHD3	1.1090	0.7169	0.7674	0.8969	0.9980	0.8305	1.1732	1.1459	0.9275
ABHD4	12.8851	14.6476	14.1319	13.7989	15.9075	10.3296	10.7410	11.9446	12.6822
ABHD5	5.7077	4.1220	4.8523	4.7997	5.1428	3.8145	4.7041	4.8522	4.9105
ABHD6	8.5254	8.5166	8.5621	8.7888	8.9967	7.8700	8.2240	8.0619	8.5744
ABHD8	1.1344	1.3356	1.8164	1.2822	1.1539	1.3613	1.5910	1.6362	1.3316
ABI1	32.1220	24.1347	31.4163	33.2675	36.4652	23.8105	35.2371	32.5041	31.7207
ABI2	16.8857	12.9769	16.5656	16.4339	17.8547	12.3731	17.0958	15.8304	15.4440
ABI3	0.7722	1.6529	1.1295	0.9842	0.7270	0.6117	1.2768	1.4196	1.1234
ABI3BP	0.1882	0.0261	0.0797	0.0765	0.0870	0.0470	0.0914	0.0597	0.0615
ABL1	92.5229	82.7361	96.1796	170.5044	182.0838	129.8032	141.2389	165.0861	162.6129
ABL2	14.1559	10.9699	16.8192	12.8227	12.8538	9.3653	10.0462	11.1340	10.5779
ABLIM1	0.3831	0.3720	0.5652	0.3096	0.2821	0.1755	0.2663	0.2290	0.2638
ABLIM2	0.7225	0.7046	0.6343	0.4438	0.4267	0.5338	0.4264	0.4085	0.5723
ABLIM3	21.6787	21.6707	21.9966	15.8754	18.5702	14.3587	18.3975	19.3879	16.9278
ABO	0.0000	0.0000	0.0000	0.0000	0.0000	0.0132	0.0000	0.0000	0.0000
ABR	58.4309	57.4732	60.8442	76.4451	78.4958	58.6675	61.8320	64.6326	67.5687
ABRA	0.0788	0.0146	0.0111	0.0116	0.0100	0.0000	0.0084	0.0000	0.0000
ABRACL	28.6414	19.5482	23.9924	20.0745	17.6175	16.0805	23.3776	17.6280	21.4208
ABT1	32.6743	34.8382	36.8036	37.8300	36.5318	30.9319	36.2055	35.1747	34.6676
ABTB1	57.3567	68.9014	63.2897	89.9122	81.1232	79.2684	71.4638	68.5268	82.5410
ABTB2	15.8758	17.2048	18.8219	15.5969	17.1415	11.0262	12.8625	14.6133	14.3642
ACAA1	13.1028	12.8726	12.4629	11.9910	11.8536	12.3721	18.2752	16.3655	13.3419
ACAA2	62.4396	56.4080	65.1666	74.7442	76.7860	66.3658	79.2056	73.6694	73.2074
ACACA	9.0275	6.6669	10.1273	8.3357	9.6619	4.7610	7.4849	8.2622	6.4877
ACACB	0.1765	0.0903	0.1323	0.0669	0.1398	0.0822	0.1601	0.1481	0.0924
ACAD10	8.7193	5.5563	6.6317	6.1894	6.3157	5.2381	5.1315	5.9547	5.4711
ACAD11	57.5466	39.5294	52.2124	43.8597	45.9379	36.1774	37.6746	40.3895	43.8529
ACAD8	12.8249	10.8345	11.3859	10.9139	11.0847	11.0707	11.7787	12.2208	11.3195
ACAD9	37.1517	37.8693	42.8572	38.8688	37.5646	33.2876	41.7226	39.0534	37.6054
ACADL	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ACADM	23.3249	17.4597	22.9667	19.1689	19.6561	13.1805	20.4577	18.7416	17.1537
ACADS	6.2129	7.6705	8.2821	6.3122	7.5463	9.2745	7.6225	8.6875	8.5803
ACADSB	3.2624	2.3231	3.1406	2.7437	2.7097	1.9317	2.8852	2.4377	2.3936
ACADVL	302.5860	288.0675	287.7114	302.1014	303.9271	293.1965	295.7712	302.6785	299.7864
ACAN	0.0080	0.0045	0.0136	0.0098	0.0208	0.0131	0.0023	0.0191	0.0184
ACAP1	22.7620	25.5760	24.2928	19.7634	19.6084	21.8147	15.3231	17.4204	19.0221
ACAP2	31.2894	19.4735	32.6180	26.1476	26.3370	14.5926	19.1926	22.9837	20.3834
ACAP3	9.7355	12.3214	11.0596	12.9485	12.5159	12.4976	13.1270	12.5712	13.2356
ACAT1	64.8549	52.9962	64.4751	51.1370	52.8961	37.1360	55.5814	48.3997	45.8048
ACAT2	12.3950	10.6565	10.5445	11.0432	11.3759	10.4634	31.2275	18.6296	12.9091
ACBD3	36.1477	26.2286	34.7876	36.1472	35.5278	30.3247	36.1483	36.1343	33.3309
ACBD4	12.8056	16.1614	15.8895	11.5873	13.5904	12.2208	13.3794	13.4921	13.7929
ACBD5	12.1910	8.2670	11.4624	8.3176	8.6591	6.1904	9.0277	9.1515	8.7314
ACBD6	96.0856	96.9821	101.5870	100.6120	97.5003	95.5221	88.3636	82.7735	95.8017
ACBD7	1.4892	0.9695	1.2489	0.9326	0.9105	0.7582	0.9789	1.3710	0.7114
ACCS	7.4309	8.6109	9.5978	7.2652	7.0538	8.3232	7.9985	8.6920	8.6999
ACCSL	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ACD	17.9607	25.3843	22.0425	22.4577	25.3997	18.8531	26.2351	24.8591	23.6071
ACE	0.0000	0.0126	0.0096	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ACE2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ACER1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ACER2	1.2887	1.3580	1.9474	1.8895	1.8599	1.1905	1.6643	2.1763	1.9395
ACER3	5.6805	3.5402	4.6882	4.0731	4.0354	3.2054	4.3638	4.2208	4.0712
ACHE	0.0374	0.0379	0.0515	0.0494	0.0415	0.0186	0.0283	0.1086	0.0367
ACIN1	51.8271	37.5979	32.7332	35.8092	34.4810	34.7149	40.0054	40.4803	32.8005
ACKR1	0.0000	0.0000	0.0000	0.0000	0.0238	0.0000	0.0000	0.0000	0.0000
ACKR2	0.1768	0.0840	0.2483	0.2157	0.2082	0.1734	0.2072	0.3061	0.2407
ACKR3	0.0353	0.0000	0.0000	0.0000	0.0913	0.0288	0.0411	0.0168	0.0691
ACKR4	0.2121	0.0805	0.0739	0.0709	0.1318	0.0633	0.1369	0.2018	0.1424
ACLY	103.2582	98.4386	116.5351	171.1530	194.6626	103.3780	160.9853	143.8664	132.5871
ACMSD	0.0000	0.0000	0.0000	0.0307	0.0000	0.0000	0.0000	0.0000	0.0000
ACO1	47.0772	43.7591	49.3138	35.1951	38.0016	21.4195	34.7179	31.2608	28.6733
ACO2	58.1605	61.7878	64.3369	56.0776	65.6979	52.0927	60.9968	57.5870	56.7000
ACOT1	0.0000	0.0000	0.0000	0.0000	0.0326	0.0000	0.0266	0.0000	0.0000
ACOT11	0.8989	0.9204	1.1413	0.8541	1.0240	0.7241	1.4662	1.0766	0.8391
ACOT12	0.0375	0.0000	0.0159	0.0152	0.0000	0.0000	0.0000	0.0000	0.0000
ACOT13	12.4075	10.4343	11.4429	10.8548	10.3706	11.5589	14.6060	12.3013	12.3545
ACOT2	27.2596	27.8446	28.0551	27.1365	26.8939	28.2131	30.2874	27.7633	28.9905
ACOT4	0.0000	0.0000	0.0198	0.0000	0.0000	0.0000	0.0136	0.0000	0.0000
ACOT6	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ACOT7	124.0490	153.5730	149.9589	147.0448	155.9702	162.9404	218.3693	196.0800	170.5710
ACOT8	43.3253	51.6258	53.1594	54.5200	53.4933	61.8624	58.0530	51.5937	59.1827
ACOT9	76.1089	65.1250	72.0281	74.6680	74.7171	68.4352	81.5136	75.0902	77.6038
ACOX1	4.4719	2.9426	3.9776	3.9125	3.9187	2.8910	4.2980	4.0906	3.5394
ACOX2	3.5266	4.0310	3.6055	1.0459	1.4924	0.7441	1.6852	1.3001	0.9962
ACOX3	7.8611	6.7272	8.1989	9.1764	9.2392	7.3176	9.3219	7.9280	7.7775
ACOXL	0.0000	0.0513	0.0261	0.0125	0.0114	0.0084	0.0090	0.0000	0.0000
ACP1	137.8073	121.8419	134.4514	134.9213	135.1571	125.6472	138.1874	150.6253	145.8824
ACP2	11.9599	13.3280	13.7636	14.7892	15.1410	12.8405	15.3003	15.7844	15.0816
ACP5	0.7612	0.9322	0.9890	0.3626	0.1921	0.1612	0.1839	0.2252	0.1717
ACP6	18.2072	16.3432	16.7427	12.1743	13.2220	12.0274	12.9436	12.5690	12.9276
ACP7	6.7346	4.4239	5.3991	3.1646	3.4306	3.1342	3.7027	3.5460	3.3668
ACPP	0.0717	0.0255	0.0419	0.0585	0.0789	0.0632	0.0851	0.0811	0.0548
ACPT	0.2336	0.1294	0.0495	0.0000	0.0648	0.1113	0.0340	0.0000	0.0381
ACR	0.0000	0.0317	0.0000	0.0000	0.0000	0.0468	0.0000	0.0000	0.0374
ACRBP	0.0000	0.0881	0.0505	0.0484	0.0588	0.0000	0.0116	0.0378	0.0260
ACRC	0.3150	0.0748	0.1239	0.1646	0.1665	0.1226	0.1836	0.1392	0.1764
ACRV1	0.0875	0.0000	0.0371	0.1008	0.0324	0.0397	0.0638	0.0347	0.0858
ACSBG1	0.1453	0.1073	0.1837	0.1181	0.0806	0.0462	0.0423	0.0461	0.0633
ACSBG2	0.0583	0.0969	0.0123	0.0474	0.0216	0.0079	0.0000	0.0416	0.0190
ACSF2	22.3129	22.9194	22.4030	23.4129	24.1857	22.1553	19.9684	17.9617	23.5604
ACSF3	21.7497	27.4156	25.6047	29.3539	28.4868	27.2336	22.4760	26.4102	28.9877
ACSL1	12.0801	9.2734	12.1342	15.3148	16.7670	8.3283	10.5742	9.8982	10.4540
ACSL3	39.8391	30.1463	39.2655	43.7428	45.6590	26.7122	43.8263	41.9177	36.5906
ACSL4	43.4916	31.5993	48.5359	61.3798	64.4819	37.9707	51.9450	51.1863	52.3777
ACSL5	2.1858	1.5640	2.0637	1.2393	1.2772	0.9405	1.0988	1.2919	1.0462
ACSL6	0.0735	0.0265	0.0618	0.0195	0.0395	0.0478	0.0486	0.0381	0.0690
ACSM1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ACSM2A	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0070
ACSM2B	0.0000	0.0000	0.0129	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ACSM3	0.7502	0.9760	1.0447	0.9943	0.9773	0.6278	1.0811	0.9152	0.7512
ACSM4	0.1303	0.0481	0.0552	0.0176	0.0964	0.0000	0.0380	0.0000	0.0567
ACSM5	0.0000	0.0000	0.0000	0.0000	0.0112	0.0000	0.0000	0.0000	0.0000
ACSM6	0.0000	0.0000	0.0187	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ACSS1	0.0203	0.0000	0.0000	0.0000	0.0000	0.0082	0.0000	0.0000	0.0000
ACSS2	19.0502	19.5060	20.6467	13.8866	15.4272	12.3791	16.0989	16.4884	14.1374
ACSS3	0.0000	0.0131	0.0200	0.0577	0.0088	0.0194	0.0207	0.0225	0.0232
ACTA1	0.3634	0.5756	0.6128	0.7877	0.5186	0.5657	0.6962	0.3954	0.6108
ACTA2	72.6889	57.7286	58.5150	54.8001	56.0873	58.7379	43.1098	44.4771	62.6103
ACTA2-AS1	0.2123	0.1179	0.1443	0.2254	0.2992	0.3484	0.0858	0.2039	0.2086
ACTB	3731.5800	4041.7200	3928.7800	5788.5000	6321.6700	5630.3700	6413.3200	6112.7700	5867.8100
ACTBL2	0.3358	0.2004	0.1860	0.4619	0.3726	0.2111	1.9499	1.0940	0.3881
ACTC1	0.0192	0.0319	0.0406	0.0624	0.0923	0.0784	0.0925	0.0822	0.0376
ACTG1	2467.7838	3146.3510	3169.4963	4028.6006	4398.8427	3099.7257	3887.5585	3494.9643	3515.0088
ACTG1P17	0.1960	0.2700	0.2024	0.1375	0.1288	0.1795	0.2453	0.2201	0.1992
ACTG1P20	0.5968	0.3877	0.6171	0.5342	0.5111	0.5554	0.5466	0.5806	0.6808
ACTG1P4	0.1503	0.0833	0.0955	0.0916	0.1251	0.0921	0.1643	0.1073	0.0859
ACTG2	3.0077	8.5170	7.9528	9.1537	9.6411	7.1898	7.4602	6.4242	8.1207
ACTL10	0.0000	0.0000	0.0155	0.0447	0.0271	0.0299	0.0534	0.0349	0.0479
ACTL6A	108.2350	92.8418	112.2976	101.8925	104.3282	72.1179	125.9886	114.3715	96.9560
ACTL6B	0.0000	0.0279	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ACTL7A	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ACTL7B	0.0000	0.0000	0.0000	0.0000	0.0000	0.0151	0.0162	0.0000	0.0000
ACTL8	230.6790	259.1190	247.2480	190.1180	194.5260	166.6500	197.2840	174.6920	173.3310
ACTL9	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ACTN1	304.0051	300.8610	341.9088	468.3353	534.9712	379.5974	427.6930	445.4842	431.9125
ACTN1-AS1	0.1676	0.8357	0.6387	0.4768	0.6199	0.9585	0.6349	0.5582	1.2042
ACTN2	0.0284	0.0236	0.0181	0.0173	0.0000	0.0039	0.0083	0.0068	0.0093
ACTN3	0.0245	0.0136	0.0207	0.0099	0.0181	0.0133	0.0000	0.0000	0.0160
ACTN4	348.9850	352.3870	341.1680	237.0820	288.2680	212.3560	299.2730	262.2070	238.0510
ACTR10	35.2320	24.9661	30.9250	33.8748	31.6345	27.7373	33.8675	31.2209	32.4976
ACTR1A	45.9536	51.6009	50.0535	54.1415	55.0053	49.0895	60.9849	61.3750	50.4804
ACTR1B	52.6142	53.2680	53.6713	47.3164	49.4697	51.8883	59.3789	53.0606	57.7530
ACTR2	226.4290	168.9770	227.2530	210.1290	226.6190	132.3810	205.3590	197.7130	181.8610
ACTR3	127.6945	97.5113	126.6635	136.8572	138.0998	104.3329	136.1230	137.5464	132.4123
ACTR3B	15.9144	12.7708	12.9736	13.2076	12.8405	9.9514	10.7422	10.5953	10.8196
ACTR3BP2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ACTR3BP5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ACTR3C	0.4391	0.1890	0.2203	0.2156	0.2005	0.0899	0.1650	0.0383	0.0848
ACTR5	6.5567	4.6916	5.4532	5.8551	5.4049	4.2999	6.0924	5.7921	4.8112
ACTR6	33.2614	23.4170	30.6472	28.3664	27.7588	21.9300	30.7266	27.2698	29.1306
ACTR8	10.6353	8.0045	10.2238	9.5977	11.1646	7.1504	9.7086	9.8607	9.0225
ACTRT1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ACTRT2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ACTRT3	0.0000	0.0000	0.0000	0.0000	0.0137	0.0000	0.0217	0.0000	0.0485
ACVR1	16.6547	12.1859	15.2152	15.2174	15.3336	12.7779	18.7357	19.5874	16.3595
ACVR1B	9.8638	7.9218	9.7312	8.8017	10.5103	6.7171	8.0371	8.8816	7.8605
ACVR1C	0.1552	0.0880	0.1309	0.0904	0.0876	0.0489	0.0905	0.0671	0.0486
ACVR2A	3.9250	3.0984	4.4407	3.7907	4.2885	3.3743	4.1435	4.2283	3.9941
ACVR2B	3.8634	2.9052	4.4712	3.8629	4.3498	2.6831	3.3620	3.8009	3.2518
ACVR2B-AS1	1.6862	1.3218	1.3580	0.9910	1.0499	0.7025	0.6989	0.8957	0.6877
ACVRL1	2.2881	2.3663	2.1275	1.8947	1.9218	1.8015	2.4004	2.2990	1.9366
ACY1	102.1229	121.2011	109.9288	110.2584	112.5441	113.9498	105.9979	102.3474	109.3234
ACY3	0.2436	0.4723	0.3094	0.1732	0.2477	0.2321	0.3017	0.4346	0.3381
ACYP1	15.6172	9.0726	11.9641	8.5857	10.8513	8.6430	16.4983	12.9097	9.3910
ACYP2	11.6836	9.4169	10.6787	10.4284	10.4088	11.2308	7.9995	8.5101	10.5822
ADA	32.5381	36.3335	36.6493	71.4515	79.8910	55.1260	74.2193	64.7777	61.3168
ADAD1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ADAD2	0.0000	0.0000	0.0153	0.0293	0.0000	0.0000	0.0000	0.0000	0.0118
ADAL	8.0004	5.8802	6.9925	6.3672	6.7162	5.8984	6.4314	6.3351	6.4524
