ESC_47	ESC_19	ESC_20	ESC_13	ESC_11	ESC_28	ESC_3	ESC_36	ESC_22	ESC_37	ESC_29	ESC_45	ESC_15	ESC_14	ESC_10	ESC_1	ESC_21	ESC_5	ESC_6	ESC_23	ESC_35	ESC_25	ESC_2	ESC_43	ESC_30	ESC_12	ESC_24	ESC_27	ESC_40	ESC_7	ESC_17	ESC_38	ESC_39	ESC_16	ESC_4	ESC_9	ESC_31	ESC_33	ESC_42	ESC_18	ESC_34	ESC_26	ESC_48	ESC_41	MEF_54	MEF_61	MEF_67	MEF_91	MEF_62	MEF_70	MEF_78	MEF_90	MEF_49	MEF_77	MEF_53	MEF_74	MEF_59	MEF_81	MEF_84	MEF_83	MEF_79	MEF_72	MEF_60	MEF_88	MEF_73	MEF_71	MEF_51	MEF_65	MEF_66	MEF_76	MEF_68	MEF_92	MEF_89	MEF_64	MEF_87	MEF_82	MEF_75	MEF_69	MEF_52	MEF_50	MEF_86	MEF_63	MEF_56	MEF_55	MEF_80	MEF_85	MEF_58	MEF_57
St18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcmtd1	228	0	1	0	1	0	29	6	11	0	0	7	0	1	0	0	67	0	0	0	31	0	0	64	0	0	0	19	0	2	2	0	0	0	7	0	2	232	0	0	0	6	0	52	0	107	34	4	36	174	24	47	101	121	0	90	180	0	0	0	0	295	8	0	41	107	2	134	4	114	0	105	28	25	2	20	13	20	0	0	22	107	102	217	0	0	234	32
Gm26983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26901	0	0	0	0	1	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0
Sntg1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rrs1	9	0	2	0	0	0	0	0	0	0	0	0	0	0	9	0	19	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	3	0	0	0	1	0	0	3	0	0	38	29	14	10	0	0	0	33	36	0	0	16	0	96	0	58	0	59	33	0	0	0	55	21	0	43	91	19	3	0	0	74	24	18	0	30	4	76	0	19	0	11	25	0
Adhfe1	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
2610203C22Rik	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mybl1	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	2	3	0	0	19	0	4	0	0	23	5	0	0	0	7	0	0	7	11	22	0	0	0	0	76	0	0	9	7	0	0	19	0	11	0	15	70	0	50	0
Vcpip1	0	133	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	5	1	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	114	0	55	0	20	18	0	57	12	0	17	0	37	73	0	0	7	0	70	0	5	16	357	0	0	136	149	119	51	90	1	0	106	20	57	0	0	42	114	74	0	187	122
1700034P13Rik	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	26	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	5	0	28	0	9	3	1	0	0	0	0	0	0	0	0	0	0	0	0	33	4
Sgk3	59	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	15	0	1	0	0	0	0	2	3	0	4
Mcmdc2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	13	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	52	12	1	0	2	0	71	38	0	0	1	0	8	0	0	0	0	0	0	0	0	5	0	43	0	32	143	1	0	25	1	0	1	0	0	0	0	8	0	0	5	0	0
Snhg6	45	17	5	2	25	0	23	14	25	0	13	18	0	13	39	1	35	11	13	3	15	44	0	0	0	0	17	45	5	0	0	24	13	20	0	2	0	37	26	8	66	0	33	50	100	453	81	101	10	88	57	18	193	98	3	46	50	82	36	74	39	84	157	41	61	12	101	85	1	166	20	139	92	129	118	29	20	117	45	11	36	37	22	25	7	156	95	34
Cops5	40	10	0	0	3	0	0	0	0	0	0	0	0	1	3	0	28	16	0	0	0	3	0	0	0	0	0	36	0	0	0	0	0	41	13	0	7	16	0	0	16	29	0	9	71	61	22	154	0	10	0	150	15	183	0	58	52	65	127	38	0	61	117	81	13	22	119	1	0	65	83	78	73	110	182	46	0	39	15	0	19	223	11	24	0	13	41	111
Cspp1	55	0	12	0	116	0	0	0	2	0	0	48	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	7	3	3	0	0	45	0	0	0	0	0	0	0	0	11	0	34	0	23	179	0	0	35	78	0	76	0	0	0	0	14	0	1	29	0	122	0	0	0	1	0	0	36	22	9	77	1	0	28	27	0	0	0	0	0	0	157	0	0	1	0
Arfgef1	3	0	0	0	0	0	0	0	31	0	1	0	0	19	0	0	24	10	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	8	0	0	10	31	76	89	6	23	0	33	137	103	23	213	46	50	0	0	0	45	49	125	91	16	12	72	26	143	25	143	45	40	29	385	174	3	25	6	65	49	0	67	25	0	115	0
Cpa6	5	0	0	0	6	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	33	0	0	0	2	0	0	60	50	4	0	20	0	0	53	0	0	0	0	8	0	0	0	23	0	292	0	9	1	60	0	0	14	33	0	0	0	0	0	81	0	5	79	72
Prex2	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	7	0	15	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	42	10	60	0	0	0	0	0	0	0	0	1	2	0	6	0	0	14	0	0	0	0	0	0	0	0	0	70	24	0	0	0	0
A830018L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	1	1	0	0	0	0	0	0	0	22	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	23	0	12	40	0	0	1	0	0	0	0	0	0	0	0	16	0	0	0	0	1	0	1	1	0	0	0	6	18	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0
Gm2383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	0	0	1	0	0	0	0	0	0
Sulf1	0	0	5	0	0	0	0	0	22	0	0	0	24	0	22	0	7	0	0	8	1	0	2	0	0	0	0	4	0	14	4	3	0	0	18	0	9	0	0	0	0	9	0	0	120	85	280	156	0	0	138	368	46	17	0	480	14	0	0	6	0	114	449	199	10	0	245	1050	8	35	43	510	300	378	0	0	2	13	0	0	43	769	0	6	95	66	6	33
Slco5a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0
Ncoa2	0	19	0	0	0	0	0	35	7	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	44	119	0	0	53	0	10	8	0	0	0	0	0	0	0	0	26	15	79	0	23	198	4	0	0	0	19	36	108	69	0	1	232	0	0	0	0	0	0	0	0	81	0
Tram1	7	0	6	0	2	0	0	0	4	0	2	0	0	0	2	0	4	0	0	3	0	0	0	26	1	0	28	0	0	4	0	20	0	0	9	0	0	26	0	0	7	0	0	5	31	68	194	111	8	129	103	30	38	4	0	142	30	104	55	29	12	104	86	28	15	33	553	53	0	167	120	168	102	79	35	985	125	90	0	0	122	226	17	62	0	802	189	116
Lactb2	69	2	0	33	4	0	0	50	18	28	0	0	0	2	0	17	0	0	13	0	0	3	0	3	0	0	4	53	0	0	0	0	0	0	0	2	0	27	0	0	0	0	0	1	9	55	0	0	0	21	0	44	8	0	0	0	6	1	4	0	0	0	31	0	13	16	8	31	0	0	44	62	1	108	0	0	12	0	21	0	0	0	30	22	0	16	65	0
Gm5523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Eya1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	118	84	0	0	20	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	66	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Rpl5-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terf1	152	0	8	13	2	0	24	21	15	12	1	37	31	0	0	0	0	0	0	51	91	0	0	0	0	0	16	14	31	0	1	13	126	0	0	0	0	0	0	25	0	11	2	0	0	0	0	39	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	1	45	0	26	0	0	0	0	9	65	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Sbspon	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930444P10Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rpl7	1735	919	703	192	862	64	1284	932	901	581	877	573	731	945	2004	1198	1743	709	521	1451	798	2107	11	340	3	534	648	606	240	27	17	1018	1041	1018	18	731	385	2608	502	271	320	178	544	1128	1079	1409	612	358	83	2275	770	841	288	1335	0	294	137	757	398	79	124	1195	944	486	359	405	885	2390	13	419	959	1760	625	935	596	115	107	1737	401	50	411	1094	860	416	174	160	926	467
Rdh10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	38	0	0	0	0	68	0	0	0	0	0	0	0	2	5	0	0	0	0	1	0	24	0	0	31	7	0	0	7	0	4	21	0	0	5	139
Stau2	0	0	0	0	0	0	0	0	5	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	22	21	0	0	19	0	0	7	6	0	18	26	0	8	91	12	0	27	0	0	15	13	0	0	0	0	1	12	2	40	0	0	67	0	0	120	12	16	31	0	3	59	0
Ube2w	26	0	1	2	0	0	0	7	0	0	0	0	0	0	41	0	2	30	0	1	0	0	0	1	0	0	1	0	1	6	0	6	657	1	10	0	0	5	5	0	0	1	78	0	40	370	81	10	0	44	0	0	99	109	0	41	9	109	54	54	40	172	110	0	9	4	564	180	0	26	73	175	3	53	92	0	0	54	0	0	68	90	40	1	0	1	61	46
Tceb1	6	3	9	0	2	0	2	42	4	9	0	5	0	0	22	0	22	0	0	55	0	0	0	1	0	39	0	9	0	4	0	0	0	0	0	11	0	57	0	0	0	8	0	10	37	337	34	37	13	116	19	108	87	68	0	14	31	365	27	51	19	3	21	120	61	26	532	0	0	115	185	102	78	73	62	0	23	19	8	0	23	110	0	120	21	31	769	62
D030040B21Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	47	0	0	0	0	0	0	0	0	3	1	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0
Tmem70	5	0	1	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	25	0	0	0	0	2	0	0	0	0	0	0	46	125	12	119	1	17	1	15	82	251	0	0	3	348	0	0	25	0	80	61	41	0	148	179	1	39	11	137	44	35	81	0	48	35	0	31	10	43	36	30	0	0	4	19
Ly96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	101	0	0	0	66	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	59	0	0	0	0	0	0	5	0	0	0	0	0	0	0	69	13	0	0	0	7	0
Jph1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	35	0	0	0	0	24	0	0	0	0	0	0	12	0	0	16	0	0	0	0	0	0	0	0	0	2	0	0	0	0	11	0	7	4	0	16	0	0	32	28	0	0	0	0
Gdap1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	25	0	0	0	0	16	0
Pi15	9	0	1	0	0	0	0	0	0	0	0	0	0	0	22	0	14	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	38	3	0	0	0	0	0	6	26	128	0	0	36	0	34	0	0	0	0	0	0	2	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	4	0	52	0	0	4	0
Gm16070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Crispld1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Gm10075	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	60	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	6	0	53	0	0	0	0	0	0	0	0	0	0	0	0
Gm15795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcm3	0	49	13	0	0	0	0	10	149	0	0	0	0	0	14	6	0	14	0	90	0	3	0	14	0	0	0	27	77	10	0	102	37	0	0	65	0	45	0	0	0	21	34	14	3	0	0	0	0	0	7	0	192	0	0	0	0	0	0	0	0	0	0	0	0	1	89	0	0	0	0	45	165	0	0	0	0	0	0	11	0	0	0	0	0	0	208	0
Paqr8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	56	0	0	0	0	0	0
Efhc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
Tram2	55	0	1	0	10	0	0	0	0	0	0	1	0	0	1	0	30	0	7	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	7	0	0	4	0	0	0	152	98	87	8	0	25	82	182	27	0	80	60	93	0	38	38	28	17	61	0	9	18	0	1	25	60	17	9	24	155	3	12	133	0	13	0	0	164	33	0	0	91	138
Tmem14a	39	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	24	0	0	16	0	0	0	0	0	0	0	23	110	0	0	126	0	4	0	13	7	0	0	0	0	0	24	0	16	0	0	0	0	0	0	0	15	12	0	0	0	0
Khdc1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnq5	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	44	0	0	0	29	0
Gm7658	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rims1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	26	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0
Ogfrl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	29	0	3	3	0	0	0	0	0	0	0	0	8	24	0	0	28	0	0	0	81	45	0	1	0	0	0	0	13	0	26	0	0	100	0
B3gat2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smap1	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	156	8	5	0	0	0	0	71	0	0	0	0	19	0	0	1	0	0	0	71	24	21	0	0	0	0	0	0	6	20	0	0	0	0	0	11	0	32	0	0	0	0	0
