Gene	Group	Author	Journal	Year	Link	Title
MET	High	Roger Lo	Cell	2015	http://goo.gl/lhEJVl	Non-genomic and Immune Evolution of Melanoma Acquiring MAPKi Resistance.
LEF1	Low	Roger Lo	Cell	2015	http://goo.gl/lhEJVl	Non-genomic and Immune Evolution of Melanoma Acquiring MAPKi Resistance.
YAP1	High	Roger Lo	Cell	2015	http://goo.gl/lhEJVl	Non-genomic and Immune Evolution of Melanoma Acquiring MAPKi Resistance.
CTLA4	Low	Roger Lo	Cell	2015	http://goo.gl/lhEJVl	Non-genomic and Immune Evolution of Melanoma Acquiring MAPKi Resistance.
PI3K	High	Roger Lo	Cancer Discovery	2014	http://goo.gl/pwZ3ZD	Acquired Resistance and Clonal Evolution in Melanoma during BRAF Inhibitor Therapy
PTEN	High	Roger Lo	Cancer Discovery	2014	http://goo.gl/pwZ3ZD	Acquired Resistance and Clonal Evolution in Melanoma during BRAF Inhibitor Therapy
AKT1	High	Roger Lo	Cancer Discovery	2014	http://goo.gl/pwZ3ZD	Acquired Resistance and Clonal Evolution in Melanoma during BRAF Inhibitor Therapy
MCL1	High	Need Fofaria	Oncotarget	2015	http://goo.gl/cEKbpV	Overexpression of Mcl-1 confers resistance to BRAFV600E inhibitors alone and in combination with MEK1/2 inhibitors in melanoma
NRG1	High	Andrew Aplin	J. Biol. Chem	2015	http://goo.gl/bEl77T	Fibroblast-derived Neuregulin 1 Promotes Compensatory ErbB3 Receptor Signaling in Mutant BRAF Melanoma
ERBB3	High	Andrew Aplin	J. Biol. Chem	2015	http://goo.gl/bEl77T	Fibroblast-derived Neuregulin 1 Promotes Compensatory ErbB3 Receptor Signaling in Mutant BRAF Melanoma
PTPN11	High	Rene Bernards	Cell Report	2015	http://goo.gl/jYXwjT	PTPN11 Is a Central Node in Intrinsic and Acquired Resistance to Targeted Cancer Drugs
HIF1A	High	Grant McArthur	Cancer Discovery	2014	http://goo.gl/v0ZaQM	Response of BRAF-Mutant Melanoma to BRAF Inhibition Is Mediated by a Network of Transcriptional Regulators of Glycolysis
MYC	High	Grant McArthur	Cancer Discovery	2014	http://goo.gl/v0ZaQM	Response of BRAF-Mutant Melanoma to BRAF Inhibition Is Mediated by a Network of Transcriptional Regulators of Glycolysis
MLXIP	High	Grant McArthur	Cancer Discovery	2014	http://goo.gl/v0ZaQM	Response of BRAF-Mutant Melanoma to BRAF Inhibition Is Mediated by a Network of Transcriptional Regulators of Glycolysis
MONDOA	High	Grant McArthur	Cancer Discovery	2014	http://goo.gl/v0ZaQM	Response of BRAF-Mutant Melanoma to BRAF Inhibition Is Mediated by a Network of Transcriptional Regulators of Glycolysis
PD-L1	High	Francesco Marincola	EBioMedicine	2015	http://goo.gl/dutMYs	2015: The Year of Anti-PD-1/PD-L1s Against Melanoma and Beyond
CD274	High	Francesco Marincola	EBioMedicine	2015	http://goo.gl/dutMYs	2015: The Year of Anti-PD-1/PD-L1s Against Melanoma and Beyond
PD-1	High	Francesco Marincola	EBioMedicine	2015	http://goo.gl/dutMYs	2015: The Year of Anti-PD-1/PD-L1s Against Melanoma and Beyond
PDCD1	High	Francesco Marincola	EBioMedicine	2015	http://goo.gl/dutMYs	2015: The Year of Anti-PD-1/PD-L1s Against Melanoma and Beyond
SOX9	High	Mitchell Levesque	Genome Biology	2015	http://goo.gl/NzNo16	Methylation-dependent SOX9 expression mediates invasion in human melanoma cells and is a negative prognostic factor in advanced melanoma
BANCR	High	Paul Khavari	Genome Research	2012	http://goo.gl/lGiq6c	BRAFV600E remodels the melanocyte transcriptome and induces BANCR to regulate melanoma cell migration.
EPHA3	High	Brian Stevenson	Pos One	2011	http://goo.gl/EoxPc0	Network-Guided Analysis of Genes with Altered Somatic Copy Number and Gene Expression Reveals Pathways Commonly Perturbed in Metastatic Melanoma
FRS2	High	Brian Stevenson	Pos One	2011	http://goo.gl/EoxPc0	Network-Guided Analysis of Genes with Altered Somatic Copy Number and Gene Expression Reveals Pathways Commonly Perturbed in Metastatic Melanoma
H2A.Z.2	High	Emily Bernstein	Molecular Cell	2015	http://goo.gl/dRGqHV	Histone Variant H2A.Z.2 Mediates Proliferation and Drug Sensitivity of Malignant Melanoma
H2AFZ	High	Emily Bernstein	Molecular Cell	2015	http://goo.gl/dRGqHV	Histone Variant H2A.Z.2 Mediates Proliferation and Drug Sensitivity of Malignant Melanoma
FN1	High	Joost J van den Oord	Modern Pathology	2014	http://goo.gl/7Iv0Me	A novel hypoxia-associated subset of FN1highMITFlow melanoma cells: identification, characterization, and prognostic value
MITF	Low	Joost J van den Oord	Modern Pathology	2014	http://goo.gl/7Iv0Me	A novel hypoxia-associated subset of FN1highMITFlow melanoma cells: identification, characterization, and prognostic value
