Probe_set	Gene	Info	Group
207233_s_at	MITF	microphthalmia-associated transcription factor	Proliferative
206426_at	MLANA	melan-A	Proliferative
206427_s_at	MLANA	melan-A	Proliferative
219648_at	MREG	melanoregulin	Proliferative
213638_at	PHACTR1	phosphatase and actin regulator 1	Proliferative
207469_s_at	PIR	pirin (iron-binding nuclear protein)	Proliferative
219584_at	PLA1A	phospholipase A1 member A	Proliferative
210198_s_at	PLP1	proteolipid protein 1	Proliferative
206470_at	PLXNC1	plexin C1	Proliferative
213241_at	PLXNC1	plexin C1	Proliferative
219412_at	RAB38	"RAB38, member RAS oncogene family"	Proliferative
206617_s_at	RENBP	renin binding protein	Proliferative
210138_at	RGS20	regulator of G-protein signaling 20	Proliferative
221524_s_at	RRAGD	Ras-related GTP binding D	Proliferative
205334_at	S100A1	S100 calcium binding protein A1	Proliferative
209848_s_at	SILV	silver homolog (mouse)	Proliferative
221644_s_at	SLC45A2	"solute carrier family 45, member 2"	Proliferative
220245_at	SLC45A2	"solute carrier family 45, member 2"	Proliferative
211546_x_at	SNCA	"synuclein, alpha (non A4 component of amyloid precursor)"	Proliferative
207827_x_at	SNCA	"synuclein, alpha (non A4 component of amyloid precursor)"	Proliferative
204466_s_at	SNCA	"synuclein, alpha (non A4 component of amyloid precursor)"	Proliferative
209843_s_at	SOX10	SRY (sex determining region Y)-box 10	Proliferative
213355_at	ST3GAL6	"ST3 beta-galactoside alpha-2,3-sialyltransferase 6"	Proliferative
210942_s_at	ST3GAL6	"ST3 beta-galactoside alpha-2,3-sialyltransferase 6"	Proliferative
204653_at	TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	Proliferative
209354_at	TNFRSF14	"tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)"	Proliferative
206479_at	TRPM1	"transient receptor potential cation channel, subfamily M, member 1"	Proliferative
206630_at	TYR	tyrosinase (oculocutaneous albinism IA)	Proliferative
205694_at	TYRP1	tyrosinase-related protein 1	Proliferative
